left_elbow,right_elbow,left_knee,right_knee,left_hip,right_hip,left_shoulder_abd,right_shoulder_abd,bbox_ratio,exercise_label,state_label
147.10967973281672,176.51681985795932,165.59705994341962,166.02608399091883,156.30165063291568,159.41546414900657,48.76572502271054,87.36304592541262,0.561129780579561,pushup,up
149.47482276574175,177.42397002522506,166.0342921352376,166.47826781326665,156.4538266898036,159.05776515034637,49.78050069480346,87.83036520710509,0.568480039632014,pushup,up
147.42278371683665,178.12971009562946,164.7611575959633,164.30848613977312,155.63109432144782,155.88526519780282,47.78303775159301,87.61195860034478,0.5586979289353868,pushup,up
145.06171299874163,175.69753586577792,162.85040143679623,164.18997845568862,155.05389634502333,155.3177082994527,47.59155108970399,85.0460281614957,0.5738631522282908,pushup,up
143.71664982664808,176.59042128985908,162.20310769766442,163.5086892706086,155.02742964331887,159.6584256257467,48.14133961101846,87.49511146048636,0.559020545332217,pushup,up
149.23072527701368,178.78877235335227,161.9334953879866,163.70701570469058,154.28697832083415,156.21260070740996,49.03989733698354,86.44995326934597,0.5599945694994869,pushup,up
146.43591973380762,176.80900271638478,163.36623138733339,163.04680943770538,156.1509181230928,155.83898764314978,46.576834507869854,85.26705419450593,0.5590113798834583,pushup,up
143.92383438903272,177.3941379664886,162.85489716733628,162.54696434874228,156.8879815461425,158.88893027007444,45.20760601466735,87.63414250945108,0.5403874936438094,pushup,up
144.53255788421808,179.37889713830415,153.39821148947226,157.6337547162244,144.85684393099604,149.66538619396778,50.09478359239095,88.57224361089403,0.5557766649406993,pushup,up
145.1217065575565,172.9797930326467,154.4964704597534,157.36297990575272,147.48085827060342,153.81650943862084,47.82974264170088,85.34731107217503,0.5603653574232375,pushup,up
144.2443413973899,177.92790240887726,152.43425083608278,155.28699524927416,144.02075429960058,151.37856891307175,49.940290626819724,90.5794469133188,0.5461796348478662,pushup,up
141.2726640662312,176.6845312824909,153.42515972538868,157.73305459262892,146.3696146515005,154.88056440785357,47.57180635877906,89.15985055493223,0.5339466222331858,pushup,up
143.14614889457425,178.1368219060114,152.39750854090863,156.36127591914686,143.6246117703871,151.61099178210475,49.10765003946048,91.2162185969026,0.5424290794843872,pushup,up
141.7778047636062,176.64649557461198,153.03084926914337,155.89557800601904,144.72772246125686,152.71257081861245,49.44434102922886,89.7456745328591,0.5474998244391595,pushup,up
137.11756532928058,176.60720919316606,161.17696979805223,161.67254889623408,152.65268175926258,156.86746430970675,44.64495025288976,87.55082293365226,0.5534747291762235,pushup,up
136.85802228709298,174.70513630313863,158.6333307093822,161.2927254169532,149.77695459651548,157.13706043760183,46.732434205561425,86.62061424356854,0.5382217409310152,pushup,up
136.61824749824947,173.70110027402447,162.58471480424794,165.1444424664372,152.1182740438532,158.66089400393724,45.27749237156631,85.84461341549874,0.5518688707317084,pushup,up
130.77513262890844,177.30408679531598,163.37136587946773,165.89785484142567,154.4437068859083,161.14072440356048,45.96914060187367,89.71304035987114,0.53535062651717,pushup,up
129.04235568804484,175.90501215577373,171.45526643605268,170.61983886633598,163.95286950161469,166.15691484702236,38.39426929033285,86.85712313558399,0.5212226930429146,pushup,up
124.3689449396993,176.23316970851133,166.38167202815515,165.61719324891175,161.0513621333235,163.6512039823259,35.800196089422535,90.59058638279355,0.5037845887881887,pushup,up
124.04754633644598,179.35179655607658,168.08713112984108,167.11273573266294,161.8974301053112,165.17597397285883,36.63928177582899,88.15196526764248,0.5156291317243098,pushup,up
118.66558245520962,177.9500842647825,162.61689157869188,161.92358015792405,159.00537001716765,161.6805296697394,34.5473076184663,89.47127599010658,0.500584293851004,pushup,up
119.98745448682675,178.42818534700035,166.17273079846933,166.60264957939674,160.20241307934012,164.4611511132004,35.416851334528744,88.8651356624158,0.49552174486093453,pushup,up
113.2409104029104,177.06736262198055,169.52731972801757,170.32100800409881,161.51078623347397,166.00204639295808,32.23297972820865,90.22584074872698,0.47359437031412305,pushup,up
114.05083138104743,177.13627271071394,169.52447768146595,166.93420048330523,166.49860014264257,169.17289441800972,30.653380250995546,87.70663296168298,0.4769992123146416,pushup,up
115.5716019432143,174.9165164982436,172.65084960738068,170.9712765130042,168.36143769423327,171.99708226401575,31.15979545064751,88.1420316057499,0.4755991250358584,pushup,up
109.4475317447431,171.7486868640392,162.643666282689,164.34124982666017,162.05106424624617,169.9519211537676,31.795000057871057,82.53629251863384,0.48404307443913175,pushup,up
118.27751150124213,165.45230725353693,162.5822648441403,165.13956709356725,162.4113813332784,170.57891180298446,32.63653402596241,82.32788666493086,0.46270486219245693,pushup,up
116.9182236488532,163.43618548852186,162.9776194926945,161.67636563883727,163.38046131167377,169.06803787950955,32.86138140060835,81.51053218266199,0.4478636272119952,pushup,up
112.5142192162982,158.42336487162206,159.82487938706595,162.7869585930042,161.86545080833477,170.15357314059705,29.765010624961445,76.79363266909586,0.44525645838457606,pushup,transition
108.57705555486517,154.34441998117222,161.3623324042027,164.5933981782611,163.43611568212353,171.3357658589125,25.683984225342602,73.98421931800476,0.43349757058805527,pushup,transition
101.73544845674991,155.41083296306405,167.0714198668654,168.20569847112375,164.4965805152115,171.06399925670428,23.325786116616786,75.37361085202413,0.41953885390007384,pushup,transition
101.78462098231032,146.398349002905,161.3249317441234,164.99933891248634,163.7251001954765,170.95247196047404,22.382165390610837,70.50430540090449,0.4152612095499364,pushup,transition
98.2839784455467,145.64098545003486,154.2237578670357,164.47261785798824,161.3608059283798,170.27998085444753,19.85520563101251,67.47627952656116,0.4296105513637869,pushup,transition
95.62082035822604,140.6410651292293,155.78969747337234,167.33061380360184,161.48531327457192,171.5030313364914,18.3378352654174,65.04436964772762,0.41071240621251653,pushup,transition
92.32286358602194,134.07060052114136,156.00192521732407,166.90889436572775,160.94385302771317,172.1000221713391,18.34020322282445,61.57069575777293,0.40407535607628464,pushup,down
83.09274484170969,131.05472322659384,166.06837294710303,171.65467641148302,166.12594312381762,173.2562608869915,11.865301866846517,58.6059065559176,0.3843583864056241,pushup,down
89.38339264770426,139.2308257137046,161.52645107621527,165.8080932884718,162.472381870383,170.84667667864466,16.91290590918762,68.37364881486619,0.3837394915138256,pushup,down
78.9868328578097,122.86155434078806,168.08518497957365,170.2522234908596,167.4043742395754,175.38794944285172,12.190620195937598,50.67680732914059,0.3767638152363624,pushup,down
71.01506363471309,89.83503308122513,153.24314766441503,142.30395664478178,158.4666774295548,164.17927462568625,15.750685612726397,21.607514831996276,0.43149219665137983,pushup,down
60.00407678545334,18.02081999299957,176.0817040530959,170.2653304650927,170.21228257607447,177.60556895290242,14.09142039363077,51.24103245159489,0.3646060466611537,pushup,down
72.22031506354958,24.829203771416058,154.08532819873633,153.87932600123168,157.29188758400815,168.63491791342653,15.13766002592246,50.33563963677977,0.3860289114591432,pushup,down
69.06319261055167,17.58276564918009,155.29277562964654,152.2594565695403,157.1756620236564,168.82814079200682,15.105276156990355,51.57706656178066,0.37842590326812564,pushup,down
68.87667846652161,42.96903592184457,162.41288388465054,163.9773142537339,166.03939417803159,175.84367887857718,10.86716254616267,26.82153747459533,0.35747296625394365,pushup,down
72.89298729897216,100.56020368416516,170.42101244079552,173.68348906813375,170.63886600882543,177.78698080020274,9.321202481677311,37.819825357902225,0.31727713991931994,pushup,down
68.60879889167434,19.965307999069402,165.07444510968642,163.47793751342826,165.41049323008778,174.9452789377964,13.581865973310116,45.32614161423048,0.35616513384266146,pushup,down
69.38640162656333,62.09167922951837,160.76450507167036,164.34785911685114,158.56820547518117,168.04617051088488,14.573338729634765,1.8754258895192915,0.3483868958889185,pushup,down
71.56718418160912,33.66049671406862,162.9278857992437,171.76008236823256,163.9634061947866,175.52106195043987,12.337644024909183,22.411470051201313,0.3218589286526855,pushup,down
